"id","firstname","lastname","candidate_name","social_security_number","faculty_id","address","postal_information","email","electoral_alliance_id","candidate_number","notes","numbering_order","created_at","updated_at","cancelled","marked_invalid","phone_number"
252,"Matilda Aurora","Merenmies","Merenmies, Matilda","011186-052C",7,"Testiosoite 252","10251 Helsinki","etunimi.sukunimi.251@example.com",5,253,,8388589,"2018-11-02 11:41:52.905193","2018-11-02 11:41:52.905193",FALSE,FALSE,
257,"Panu Juhana","Paajanen","Paajanen, Panu","120973-080D",6,"Testiosoite 257","10256 Helsinki","etunimi.sukunimi.256@example.com",5,258,,8388594,"2018-11-02 11:41:52.968326","2018-11-02 11:41:52.968326",FALSE,FALSE,
231,"Aarne Jouni","Granlund","Granlund, Aarne","160856-018T",4,"Testiosoite 231","10230 Helsinki","etunimi.sukunimi.230@example.com",5,232,,7864300,"2018-11-02 11:41:52.668315","2018-11-02 11:41:52.668315",FALSE,FALSE,
265,"Iina-Mari","Supperi","Supperi, Iina-Mari","300251-045K",1,"Testiosoite 265","10264 Helsinki","etunimi.sukunimi.264@example.com",5,266,,8388602,"2018-11-02 11:41:53.075689","2018-11-02 11:41:53.075689",FALSE,FALSE,
233,"Minna Marianne","Hokkanen","Hokkanen, Minna","050565-053R",11,"Testiosoite 233","10232 Helsinki","etunimi.sukunimi.232@example.com",5,234,,8257516,"2018-11-02 11:41:52.690179","2018-11-02 11:41:52.690179",FALSE,FALSE,
258,"Sini Helena","Paajanen","Paajanen, Sini","250850-0846",8,"Testiosoite 258","10257 Helsinki","etunimi.sukunimi.257@example.com",5,259,,8388595,"2018-11-02 11:41:52.980734","2018-11-02 11:41:52.980734",FALSE,FALSE,
246,"Samu Petteri","Lassila","Lassila, Samu","300687-006U",10,"Testiosoite 246","10245 Helsinki","etunimi.sukunimi.245@example.com",5,247,,8388572,"2018-11-02 11:41:52.833831","2018-11-02 11:41:52.833831",FALSE,FALSE,
268,"Kiira Sofia","Tuohimaa","Tuohimaa, Kiira","300252-0588",8,"Testiosoite 268","10267 Helsinki","etunimi.sukunimi.267@example.com",5,269,,8388605,"2018-11-02 11:41:53.115518","2018-11-02 11:41:53.115518",FALSE,FALSE,
237,"Iiris Niina Katariina","Keino","Keino, Iiris","270888-091H",6,"Testiosoite 237","10236 Helsinki","etunimi.sukunimi.236@example.com",5,238,,8380396,"2018-11-02 11:41:52.734959","2018-11-02 11:41:52.734959",FALSE,FALSE,
261,"Tuomas Erik Johannes","Rytkönen","Rytkönen, Tuomas","201150-061M",4,"Testiosoite 261","10260 Helsinki","etunimi.sukunimi.260@example.com",5,262,,8388598,"2018-11-02 11:41:53.022174","2018-11-02 11:41:53.022174",FALSE,FALSE,
254,"Kaisa Tellervo","Muinonen","Muinonen, Kaisa","100571-0713",9,"Testiosoite 254","10253 Helsinki","etunimi.sukunimi.253@example.com",5,255,,8388591,"2018-11-02 11:41:52.929998","2018-11-02 11:41:52.929998",FALSE,FALSE,
243,"Hanna Linnea","Kylmäniemi","Kylmäniemi, Hanna","171182-0343",11,"Testiosoite 243","10242 Helsinki","etunimi.sukunimi.242@example.com",5,244,,8388460,"2018-11-02 11:41:52.80136","2018-11-02 11:41:52.80136",FALSE,FALSE,
256,"Tero Seppo Ilari","Nieminen","Nieminen, Tero","260972-072X",10,"Testiosoite 256","10255 Helsinki","etunimi.sukunimi.255@example.com",5,257,,8388593,"2018-11-02 11:41:52.95546","2018-11-02 11:41:52.95546",FALSE,FALSE,
267,"Jon Emil","Termonen","Termonen, Jon","210155-072V",6,"Testiosoite 267","10266 Helsinki","etunimi.sukunimi.266@example.com",5,268,,8388604,"2018-11-02 11:41:53.102468","2018-11-02 11:41:53.102468",FALSE,FALSE,
232,"Irene Mirjam","Hallikainen","Hallikainen, Irene","200564-033H",7,"Testiosoite 232","10231 Helsinki","etunimi.sukunimi.231@example.com",5,233,,8126444,"2018-11-02 11:41:52.679157","2018-11-02 11:41:52.679157",FALSE,FALSE,
239,"Elina Johanna","Komulainen","Komulainen, Elina","210987-0938",5,"Testiosoite 239","10238 Helsinki","etunimi.sukunimi.238@example.com",5,240,,8386540,"2018-11-02 11:41:52.757404","2018-11-02 11:41:52.757404",FALSE,FALSE,
234,"Satu Eeva-Johanna","Hytönen","Hytönen, Satu","090476-072Y",9,"Testiosoite 234","10233 Helsinki","etunimi.sukunimi.233@example.com",5,235,,8323052,"2018-11-02 11:41:52.700658","2018-11-02 11:41:52.700658",FALSE,FALSE,
236,"Kiti Marjukka","Karvinen","Karvinen, Kiti","080885-0195",10,"Testiosoite 236","10235 Helsinki","etunimi.sukunimi.235@example.com",5,237,,8372204,"2018-11-02 11:41:52.722083","2018-11-02 11:41:52.722083",FALSE,FALSE,
263,"Saku Pekka","Salli","Salli, Saku","240490-047E",11,"Testiosoite 263","10262 Helsinki","etunimi.sukunimi.262@example.com",5,264,,8388600,"2018-11-02 11:41:53.048386","2018-11-02 11:41:53.048386",FALSE,FALSE,
250,"Otto","Markkanen","Markkanen, Otto","010553-096E",2,"Testiosoite 250","10249 Helsinki","etunimi.sukunimi.249@example.com",5,251,,8388587,"2018-11-02 11:41:52.879809","2018-11-02 11:41:52.879809",FALSE,FALSE,
229,"Eero Antero","Blåfield","Blåfield, Eero","040279-025C",5,"Testiosoite 229","10228 Helsinki","etunimi.sukunimi.228@example.com",5,230,,6291436,"2018-11-02 11:41:52.646686","2018-11-02 11:41:52.646686",FALSE,FALSE,
266,"Johanna Maria","Säteri","Säteri, Johanna","030650-040Y",10,"Testiosoite 266","10265 Helsinki","etunimi.sukunimi.265@example.com",5,267,,8388603,"2018-11-02 11:41:53.089188","2018-11-02 11:41:53.089188",FALSE,FALSE,
245,"Alpo Olavi","Lahtinen","Lahtinen, Alpo","081165-004X",1,"Testiosoite 245","10244 Helsinki","etunimi.sukunimi.244@example.com",5,246,,8388556,"2018-11-02 11:41:52.823071","2018-11-02 11:41:52.823071",FALSE,FALSE,
260,"Mikko Jorma Johannes","Rudanko","Rudanko, Mikko","280550-0974",2,"Testiosoite 260","10259 Helsinki","etunimi.sukunimi.259@example.com",5,261,,8388597,"2018-11-02 11:41:53.008695","2018-11-02 11:41:53.008695",FALSE,FALSE,
238,"Antti Johan","Kerppola","Kerppola, Antti","310167-081P",8,"Testiosoite 238","10237 Helsinki","etunimi.sukunimi.237@example.com",5,239,,8384492,"2018-11-02 11:41:52.746568","2018-11-02 11:41:52.746568",FALSE,FALSE,
255,"Johanna Maria","Männistö","Männistö, Johanna","080854-0859",1,"Testiosoite 255","10254 Helsinki","etunimi.sukunimi.254@example.com",5,256,,8388592,"2018-11-02 11:41:52.942849","2018-11-02 11:41:52.942849",FALSE,FALSE,
241,"Lauri Juhani","Koskentausta","Koskentausta, Lauri","060789-012V",4,"Testiosoite 241","10240 Helsinki","etunimi.sukunimi.240@example.com",5,242,,8388076,"2018-11-02 11:41:52.779629","2018-11-02 11:41:52.779629",FALSE,FALSE,
235,"Antti Julius","Kaakkola","Kaakkola, Antti","210383-072P",1,"Testiosoite 235","10234 Helsinki","etunimi.sukunimi.234@example.com",5,236,,8355820,"2018-11-02 11:41:52.711414","2018-11-02 11:41:52.711414",FALSE,FALSE,
248,"Kristiina Annukka","Lindholm","Lindholm, Kristiina","151180-0593",8,"Testiosoite 248","10247 Helsinki","etunimi.sukunimi.247@example.com",5,249,,8388584,"2018-11-02 11:41:52.855543","2018-11-02 11:41:52.855543",FALSE,FALSE,
262,"Kalle Elias Markunpoika","Ryynänen","Ryynänen, Kalle","060664-010J",7,"Testiosoite 262","10261 Helsinki","etunimi.sukunimi.261@example.com",5,263,,8388599,"2018-11-02 11:41:53.035283","2018-11-02 11:41:53.035283",FALSE,FALSE,
230,"Heidi Maria Kristiina","Giss","Giss, Heidi","200760-0665",2,"Testiosoite 230","10229 Helsinki","etunimi.sukunimi.229@example.com",5,231,,7340012,"2018-11-02 11:41:52.657582","2018-11-02 11:41:52.657582",FALSE,FALSE,
244,"Eero Antero","Kärki","Kärki, Eero","070871-0851",9,"Testiosoite 244","10243 Helsinki","etunimi.sukunimi.243@example.com",5,245,,8388524,"2018-11-02 11:41:52.812009","2018-11-02 11:41:52.812009",FALSE,FALSE,
240,"Kaisa Laura Irene","Kortesmaa","Kortesmaa, Kaisa","041268-053H",2,"Testiosoite 240","10239 Helsinki","etunimi.sukunimi.239@example.com",5,241,,8387564,"2018-11-02 11:41:52.768623","2018-11-02 11:41:52.768623",FALSE,FALSE,
270,"Nelli Pauliina","Vilkko","Vilkko, Nelli","221251-024T",2,"Testiosoite 270","10269 Helsinki","etunimi.sukunimi.269@example.com",5,271,,8388607,"2018-11-02 11:41:53.141786","2018-11-02 11:41:53.141786",FALSE,FALSE,
271,"Haji Omar Abdirisak","Ahmed","Ahmed, Abdirisak","240577-0865",4,"Testiosoite 271","10270 Helsinki","etunimi.sukunimi.270@example.com",7,272,,0,"2018-11-02 11:41:53.154084","2018-11-02 11:41:53.154084",FALSE,FALSE,
272,"Markus Aleksanteri","Aspelund","Aspelund, Aleksanteri","160365-035M",7,"Testiosoite 272","10271 Helsinki","etunimi.sukunimi.271@example.com",7,273,,4194304,"2018-11-02 11:41:53.164821","2018-11-02 11:41:53.164821",FALSE,FALSE,
273,"Juha Daniel","Gogulski","Gogulski, Juha","310881-011P",11,"Testiosoite 273","10272 Helsinki","etunimi.sukunimi.272@example.com",7,274,,6291456,"2018-11-02 11:41:53.175943","2018-11-02 11:41:53.175943",FALSE,FALSE,
274,"Tuomas Juho Arthur","Kaprio","Kaprio, Tuomas","311159-013H",9,"Testiosoite 274","10273 Helsinki","etunimi.sukunimi.273@example.com",7,275,,7340032,"2018-11-02 11:41:53.187077","2018-11-02 11:41:53.187077",FALSE,FALSE,
275,"Riku-Jaakko","Koivunen","Koivunen, Riku","140363-086F",1,"Testiosoite 275","10274 Helsinki","etunimi.sukunimi.274@example.com",7,276,,7864320,"2018-11-02 11:41:53.197937","2018-11-02 11:41:53.197937",FALSE,FALSE,
276,"Markus Juhani","Lommi","Lommi, Markus","160151-095B",10,"Testiosoite 276","10275 Helsinki","etunimi.sukunimi.275@example.com",7,277,,8126464,"2018-11-02 11:41:53.20868","2018-11-02 11:41:53.20868",FALSE,FALSE,
277,"Juhana Aarni Kaleva","Rautiola","Rautiola, Juhana","230467-099J",6,"Testiosoite 277","10276 Helsinki","etunimi.sukunimi.276@example.com",7,278,,8257536,"2018-11-02 11:41:53.219819","2018-11-02 11:41:53.219819",FALSE,FALSE,
278,"Ville Sameli","Salminen","Salminen, Ville","010686-099V",8,"Testiosoite 278","10277 Helsinki","etunimi.sukunimi.277@example.com",7,279,,8323072,"2018-11-02 11:41:53.23035","2018-11-02 11:41:53.23035",FALSE,FALSE,
279,"Pyry Nestori","Sipilä","Sipilä, Pyry","251152-014V",5,"Testiosoite 279","10278 Helsinki","etunimi.sukunimi.278@example.com",7,280,,8355840,"2018-11-02 11:41:53.240977","2018-11-02 11:41:53.240977",FALSE,FALSE,
280,"Olli Pekka","Suomalainen","Suomalainen, Olli","070590-022F",2,"Testiosoite 280","10279 Helsinki","etunimi.sukunimi.279@example.com",7,281,,8372224,"2018-11-02 11:41:53.251785","2018-11-02 11:41:53.251785",FALSE,FALSE,
281,"Henni Tuulia","Tamminen","Tamminen, Henni","020287-008L",4,"Testiosoite 281","10280 Helsinki","etunimi.sukunimi.280@example.com",7,282,,8380416,"2018-11-02 11:41:53.262409","2018-11-02 11:41:53.262409",FALSE,FALSE,
282,"Matias Ilmari","Torkki","Torkki, Matias","250960-063W",7,"Testiosoite 282","10281 Helsinki","etunimi.sukunimi.281@example.com",7,283,,8384512,"2018-11-02 11:41:53.273307","2018-11-02 11:41:53.273307",FALSE,FALSE,
283,"Jussi Tapani","Valle","Valle, Jussi","300673-024T",11,"Testiosoite 283","10282 Helsinki","etunimi.sukunimi.282@example.com",7,284,,8386560,"2018-11-02 11:41:53.28424","2018-11-02 11:41:53.28424",FALSE,FALSE,
284,"Velina","Vangelova","Vangelova, Velina","200286-0134",9,"Testiosoite 284","10283 Helsinki","etunimi.sukunimi.283@example.com",7,285,,8387584,"2018-11-02 11:41:53.294935","2018-11-02 11:41:53.294935",FALSE,FALSE,
285,"Käthe Susanna","Yoder","Yoder, Käthe","111167-015R",1,"Testiosoite 285","10284 Helsinki","etunimi.sukunimi.284@example.com",7,286,,8388096,"2018-11-02 11:41:53.305665","2018-11-02 11:41:53.305665",FALSE,FALSE,
286,"Anne Pauliina","Bruce","Bruce, Anne","170872-0985",10,"Testiosoite 286","10285 Helsinki","etunimi.sukunimi.285@example.com",11,287,,0,"2018-11-02 11:41:53.317779","2018-11-02 11:41:53.317779",FALSE,FALSE,
287,"Sebastian","von Freymann","von Freymann, Sebastian","080566-023Y",6,"Testiosoite 287","10286 Helsinki","etunimi.sukunimi.286@example.com",11,288,,4194304,"2018-11-02 11:41:53.328932","2018-11-02 11:41:53.328932",FALSE,FALSE,
288,"Anni Kaarina","Hakanen","Hakanen, Anni","260789-080Y",8,"Testiosoite 288","10287 Helsinki","etunimi.sukunimi.287@example.com",11,289,,6291456,"2018-11-02 11:41:53.340388","2018-11-02 11:41:53.340388",FALSE,FALSE,
289,"Henriikka","Helin","Helin, Henriikka","060176-067E",5,"Testiosoite 289","10288 Helsinki","etunimi.sukunimi.288@example.com",11,290,,7340032,"2018-11-02 11:41:53.351742","2018-11-02 11:41:53.351742",FALSE,FALSE,
290,"Karoliina Emilia","Hämäläinen","Hämäläinen, Karoliina","050986-090K",2,"Testiosoite 290","10289 Helsinki","etunimi.sukunimi.289@example.com",11,291,,7864320,"2018-11-02 11:41:53.363394","2018-11-02 11:41:53.363394",FALSE,FALSE,
291,"Isa Anna Maria","Immonen","Immonen, Isa","231084-088D",4,"Testiosoite 291","10290 Helsinki","etunimi.sukunimi.290@example.com",11,292,,8126464,"2018-11-02 11:41:53.37509","2018-11-02 11:41:53.37509",FALSE,FALSE,
292,"Olli Oskari","Jokinen","Jokinen, Olli","260681-0460",7,"Testiosoite 292","10291 Helsinki","etunimi.sukunimi.291@example.com",11,293,,8257536,"2018-11-02 11:41:53.386614","2018-11-02 11:41:53.386614",FALSE,FALSE,
293,"Ira Janika","Kallio-Kujala","Kallio-Kujala, Ira","110684-036S",11,"Testiosoite 293","10292 Helsinki","etunimi.sukunimi.292@example.com",11,294,,8323072,"2018-11-02 11:41:53.398087","2018-11-02 11:41:53.398087",FALSE,FALSE,
294,"Raisa Johanna Tuulia","Kiimamaa","Kiimamaa, Raisa","251178-0989",9,"Testiosoite 294","10293 Helsinki","etunimi.sukunimi.293@example.com",11,295,,8355840,"2018-11-02 11:41:53.409717","2018-11-02 11:41:53.409717",FALSE,FALSE,
295,"Miika Antti Johannes","Kilpeläinen","Kilpeläinen, Miika","201065-034U",1,"Testiosoite 295","10294 Helsinki","etunimi.sukunimi.294@example.com",11,296,,8372224,"2018-11-02 11:41:53.421173","2018-11-02 11:41:53.421173",FALSE,FALSE,
296,"Anna-Leena","Mäkelä","Mäkelä, Anna-Leena","310486-075U",10,"Testiosoite 296","10295 Helsinki","etunimi.sukunimi.295@example.com",11,297,,8380416,"2018-11-02 11:41:53.432458","2018-11-02 11:41:53.432458",FALSE,FALSE,
297,"Heini Maria","Niinimäki","Niinimäki, Heini","290860-010Y",6,"Testiosoite 297","10296 Helsinki","etunimi.sukunimi.296@example.com",11,298,,8384512,"2018-11-02 11:41:53.443447","2018-11-02 11:41:53.443447",FALSE,FALSE,
298,"Aino Marja","Riihimäki","Riihimäki, Aino","100869-0466",8,"Testiosoite 298","10297 Helsinki","etunimi.sukunimi.297@example.com",11,299,,8386560,"2018-11-02 11:41:53.4548","2018-11-02 11:41:53.4548",FALSE,FALSE,
299,"Kaija Sofia","Sivonen","Sivonen, Kaija","110961-0291",5,"Testiosoite 299","10298 Helsinki","etunimi.sukunimi.298@example.com",11,300,,8387584,"2018-11-02 11:41:53.466111","2018-11-02 11:41:53.466111",FALSE,FALSE,
300,"Okko Arttu Kalle","Sukura","Sukura, Okko","010277-070C",2,"Testiosoite 300","10299 Helsinki","etunimi.sukunimi.299@example.com",11,301,,8388096,"2018-11-02 11:41:53.47768","2018-11-02 11:41:53.47768",FALSE,FALSE,
301,"Elli Orvokki","Tuominen","Tuominen, Elli","280376-086V",4,"Testiosoite 301","10300 Helsinki","etunimi.sukunimi.300@example.com",11,302,,8388352,"2018-11-02 11:41:53.489558","2018-11-02 11:41:53.489558",FALSE,FALSE,
302,"Simo Juhani","Grönroos","Grönroos, Simo","190463-0113",7,"Testiosoite 302","10301 Helsinki","etunimi.sukunimi.301@example.com",30,303,,0,"2018-11-02 11:41:53.501651","2018-11-02 11:41:53.501651",FALSE,FALSE,
303,"Marko Johannes","Nieminen","Nieminen, Johannes","010568-0649",11,"Testiosoite 303","10302 Helsinki","etunimi.sukunimi.302@example.com",30,304,,4194304,"2018-11-02 11:41:53.515037","2018-11-02 11:41:53.515037",FALSE,FALSE,
304,"Teemu Ilkka Antero","Lahtinen","Lahtinen, Teemu","030772-006B",9,"Testiosoite 304","10303 Helsinki","etunimi.sukunimi.303@example.com",30,305,,6291456,"2018-11-02 11:41:53.526291","2018-11-02 11:41:53.526291",FALSE,FALSE,
340,"Jussi Elias","Nuortimo","Nuortimo, Jussi","060384-054P",2,"Testiosoite 340","10339 Helsinki","etunimi.sukunimi.339@example.com",2,341,,8388583,"2018-11-02 11:41:53.943268","2018-11-02 11:41:53.943268",FALSE,FALSE,
346,"Paula Maria","Rauhala","Rauhala, Paula","030483-097P",10,"Testiosoite 346","10345 Helsinki","etunimi.sukunimi.345@example.com",2,347,,8388589,"2018-11-02 11:41:54.025353","2018-11-02 11:41:54.025353",FALSE,FALSE,
333,"Eetu Kai Matias","Lindgren","Lindgren, Eetu","070781-0622",11,"Testiosoite 333","10332 Helsinki","etunimi.sukunimi.332@example.com",2,334,,8388576,"2018-11-02 11:41:53.852215","2018-11-02 11:41:53.852215",FALSE,FALSE,
351,"Hanna Maria","Sivonen","Sivonen, Hanna","110982-036N",4,"Testiosoite 351","10350 Helsinki","etunimi.sukunimi.350@example.com",2,352,,8388594,"2018-11-02 11:41:54.096187","2018-11-02 11:41:54.096187",FALSE,FALSE,
337,"Laika Katriina","Nevalainen","Nevalainen, Laika","150263-098P",6,"Testiosoite 337","10336 Helsinki","etunimi.sukunimi.336@example.com",2,338,,8388580,"2018-11-02 11:41:53.903969","2018-11-02 11:41:53.903969",FALSE,FALSE,
359,"Elina Karoliina","Tuusa","Tuusa, Elina","010270-096D",5,"Testiosoite 359","10358 Helsinki","etunimi.sukunimi.358@example.com",2,360,,8388602,"2018-11-02 11:41:54.20897","2018-11-02 11:41:54.20897",FALSE,FALSE,
358,"Inka Maaria","Tuominen","Tuominen, Inka","050854-026E",8,"Testiosoite 358","10357 Helsinki","etunimi.sukunimi.357@example.com",2,359,,8388601,"2018-11-02 11:41:54.195175","2018-11-02 11:41:54.195175",FALSE,FALSE,
311,"Veikko Oskari","Eranti","Eranti, Veikko","120481-053K",4,"Testiosoite 311","10310 Helsinki","etunimi.sukunimi.310@example.com",2,312,,8257500,"2018-11-02 11:41:53.603172","2018-11-02 11:41:53.603172",FALSE,FALSE,
321,"Nina Anna Kristiina","Järviö","Järviö, Nina","231263-0081",4,"Testiosoite 321","10320 Helsinki","etunimi.sukunimi.320@example.com",2,322,,8388444,"2018-11-02 11:41:53.712443","2018-11-02 11:41:53.712443",FALSE,FALSE,
347,"Jan Erik","Rosenström","Rosenström, Jan","281260-0029",6,"Testiosoite 347","10346 Helsinki","etunimi.sukunimi.346@example.com",2,348,,8388590,"2018-11-02 11:41:54.038954","2018-11-02 11:41:54.038954",FALSE,FALSE,
324,"Dan Mikael","Koivulaakso","Koivulaakso, Dan","291174-026H",9,"Testiosoite 324","10323 Helsinki","etunimi.sukunimi.323@example.com",2,325,,8388556,"2018-11-02 11:41:53.745028","2018-11-02 11:41:53.745028",FALSE,FALSE,
305,"Riku Jussi","Ahola","Ahola, Riku","021255-0337",1,"Testiosoite 305","10304 Helsinki","etunimi.sukunimi.304@example.com",2,306,,-36,"2018-11-02 11:41:53.537502","2018-11-02 11:41:53.537502",FALSE,FALSE,
326,"Juho Topias","Korhonen","Korhonen, Juho","080160-061D",10,"Testiosoite 326","10325 Helsinki","etunimi.sukunimi.325@example.com",2,327,,8388568,"2018-11-02 11:41:53.766983","2018-11-02 11:41:53.766983",FALSE,FALSE,
306,"Lauri Väinö Johannes","Alhojärvi","Alhojärvi, Lauri","140379-031U",10,"Testiosoite 306","10305 Helsinki","etunimi.sukunimi.305@example.com",2,307,,4194268,"2018-11-02 11:41:53.548542","2018-11-02 11:41:53.548542",FALSE,FALSE,
318,"Meri Katri Maria","Immonen","Immonen, Katri","281283-017P",8,"Testiosoite 318","10317 Helsinki","etunimi.sukunimi.317@example.com",2,319,,8387548,"2018-11-02 11:41:53.679073","2018-11-02 11:41:53.679073",FALSE,FALSE,
312,"Tuula Irene","Friman","Friman, Tuula","300758-078F",7,"Testiosoite 312","10311 Helsinki","etunimi.sukunimi.311@example.com",2,313,,8323036,"2018-11-02 11:41:53.614004","2018-11-02 11:41:53.614004",FALSE,FALSE,
314,"Pijatta Maaria","Heinonen","Heinonen, Pijatta","080787-0551",9,"Testiosoite 314","10313 Helsinki","etunimi.sukunimi.313@example.com",2,315,,8372188,"2018-11-02 11:41:53.635645","2018-11-02 11:41:53.635645",FALSE,FALSE,
338,"Esko Paavo","Niiranen","Niiranen, Esko","170666-0072",8,"Testiosoite 338","10337 Helsinki","etunimi.sukunimi.337@example.com",2,339,,8388581,"2018-11-02 11:41:53.916903","2018-11-02 11:41:53.916903",FALSE,FALSE,
345,"Tanja Irina","Pörrö","Pörrö, Tanja","151273-0028",1,"Testiosoite 345","10344 Helsinki","etunimi.sukunimi.344@example.com",2,346,,8388588,"2018-11-02 11:41:54.011231","2018-11-02 11:41:54.011231",FALSE,FALSE,
342,"Otto Ville","Pietinen","Pietinen, Otto","100872-015Y",7,"Testiosoite 342","10341 Helsinki","etunimi.sukunimi.341@example.com",2,343,,8388585,"2018-11-02 11:41:53.97188","2018-11-02 11:41:53.97188",FALSE,FALSE,
316,"Lari Valtteri","Häkkinen","Häkkinen, Lari","050251-054R",10,"Testiosoite 316","10315 Helsinki","etunimi.sukunimi.315@example.com",2,317,,8384476,"2018-11-02 11:41:53.657502","2018-11-02 11:41:53.657502",FALSE,FALSE,
308,"Sebastian Joel","Alvarez Gomez","Alvarez, Sebastian","200656-019T",8,"Testiosoite 308","10307 Helsinki","etunimi.sukunimi.307@example.com",2,309,,7339996,"2018-11-02 11:41:53.570374","2018-11-02 11:41:53.570374",FALSE,FALSE,
336,"Anna-Gerissa","Lyyra","Lyyra, Gerissa","240279-0215",10,"Testiosoite 336","10335 Helsinki","etunimi.sukunimi.335@example.com",2,337,,8388579,"2018-11-02 11:41:53.89099","2018-11-02 11:41:53.89099",FALSE,FALSE,
320,"Outi Maarit","Iso-Markku","Iso-Markku, Outi","190458-096J",2,"Testiosoite 320","10319 Helsinki","etunimi.sukunimi.319@example.com",2,321,,8388316,"2018-11-02 11:41:53.701406","2018-11-02 11:41:53.701406",FALSE,FALSE,
331,"Tomi Henrik","Lehtimäki","Lehtimäki, Tomi","081152-0889",4,"Testiosoite 331","10330 Helsinki","etunimi.sukunimi.330@example.com",2,332,,8388574,"2018-11-02 11:41:53.826614","2018-11-02 11:41:53.826614",FALSE,FALSE,
317,"Anssi-Petteri","Hämäläinen","Hämäläinen, Anssi","061068-058B",6,"Testiosoite 317","10316 Helsinki","etunimi.sukunimi.316@example.com",2,318,,8386524,"2018-11-02 11:41:53.66825","2018-11-02 11:41:53.66825",FALSE,FALSE,
339,"Anne Elina","Norema","Norema, Anne","010753-080J",5,"Testiosoite 339","10338 Helsinki","etunimi.sukunimi.338@example.com",2,340,,8388582,"2018-11-02 11:41:53.929874","2018-11-02 11:41:53.929874",FALSE,FALSE,
309,"Nayer","Bennour","Bennour, Nayer","130466-0132",5,"Testiosoite 309","10308 Helsinki","etunimi.sukunimi.308@example.com",2,310,,7864284,"2018-11-02 11:41:53.581243","2018-11-02 11:41:53.581243",FALSE,FALSE,
323,"Oona Marjut Onerva","Kiviluoto","Kiviluoto, Oona","040967-0912",11,"Testiosoite 323","10322 Helsinki","etunimi.sukunimi.322@example.com",2,324,,8388540,"2018-11-02 11:41:53.734509","2018-11-02 11:41:53.734509",FALSE,FALSE,
334,"Silva Elina","Loikkanen","Loikkanen, Silva","271262-081P",9,"Testiosoite 334","10333 Helsinki","etunimi.sukunimi.333@example.com",2,335,,8388577,"2018-11-02 11:41:53.864585","2018-11-02 11:41:53.864585",FALSE,FALSE,
350,"Kuisma Einari","Salonen","Salonen, Kuisma","031078-015L",2,"Testiosoite 350","10349 Helsinki","etunimi.sukunimi.349@example.com",2,351,,8388593,"2018-11-02 11:41:54.082944","2018-11-02 11:41:54.082944",FALSE,FALSE,
322,"Heidi Susanna","Kangas","Kangas, Heidi","080753-0536",7,"Testiosoite 322","10321 Helsinki","etunimi.sukunimi.321@example.com",2,323,,8388508,"2018-11-02 11:41:53.723619","2018-11-02 11:41:53.723619",FALSE,FALSE,
330,"Juho Sakari","Kuokkanen","Kuokkanen, Juho","041076-0241",2,"Testiosoite 330","10329 Helsinki","etunimi.sukunimi.329@example.com",2,331,,8388573,"2018-11-02 11:41:53.813811","2018-11-02 11:41:53.813811",FALSE,FALSE,
332,"Joonas","Leppänen","Leppänen, Joonas","290584-036K",7,"Testiosoite 332","10331 Helsinki","etunimi.sukunimi.331@example.com",2,333,,8388575,"2018-11-02 11:41:53.83942","2018-11-02 11:41:53.83942",FALSE,FALSE,
349,"Juhani Eero","Saari","Saari, Juhani","060690-000X",5,"Testiosoite 349","10348 Helsinki","etunimi.sukunimi.348@example.com",2,350,,8388592,"2018-11-02 11:41:54.068649","2018-11-02 11:41:54.068649",FALSE,FALSE,
360,"Ville Olavi","Uusivuori","Uusivuori, Ville","101061-0606",2,"Testiosoite 360","10359 Helsinki","etunimi.sukunimi.359@example.com",2,361,,8388603,"2018-11-02 11:41:54.225176","2018-11-02 11:41:54.225176",FALSE,FALSE,
363,"Emmi Tuuva Elina","Vähäpassi","Vähäpassi, Emmi","290763-024C",11,"Testiosoite 363","10362 Helsinki","etunimi.sukunimi.362@example.com",2,364,,8388606,"2018-11-02 11:41:54.272816","2018-11-02 11:41:54.272816",FALSE,FALSE,
341,"Jaana Marjut","Oikkonen","Oikkonen, Jaana","140966-0885",4,"Testiosoite 341","10340 Helsinki","etunimi.sukunimi.340@example.com",2,342,,8388584,"2018-11-02 11:41:53.956644","2018-11-02 11:41:53.956644",FALSE,FALSE,
344,"Heta Tyyne Aurora","Punamäki","Punamäki, Lauri","240385-0681",9,"Testiosoite 344","10343 Helsinki","etunimi.sukunimi.343@example.com",2,345,,8388587,"2018-11-02 11:41:53.998016","2018-11-02 11:41:53.998016",FALSE,FALSE,
357,"Risto Olli Oskari","Tuomainen","Tuomainen, Risto","020260-041P",6,"Testiosoite 357","10356 Helsinki","etunimi.sukunimi.356@example.com",2,358,,8388600,"2018-11-02 11:41:54.180831","2018-11-02 11:41:54.180831",FALSE,FALSE,
352,"Tomi Aapeli","Strömberg","Strömberg, Tomi","040178-088B",7,"Testiosoite 352","10351 Helsinki","etunimi.sukunimi.351@example.com",2,353,,8388595,"2018-11-02 11:41:54.110039","2018-11-02 11:41:54.110039",FALSE,FALSE,
325,"Iiris Maria Alina","Konttinen","Konttinen, Iiris","111055-0211",1,"Testiosoite 325","10324 Helsinki","etunimi.sukunimi.324@example.com",2,326,,8388564,"2018-11-02 11:41:53.755969","2018-11-02 11:41:53.755969",FALSE,FALSE,
